iter	Passed	Remaining
425	3036	527
426	3043	520
427	3051	513
428	3059	506
429	3067	499
430	3075	492
431	3083	485
432	3090	478
433	3098	471
434	3105	464
435	3114	457
436	3121	450
437	3131	443
438	3138	436
439	3147	429
440	3154	422
441	3163	415
442	3171	408
443	3180	401
444	3187	393
445	3195	386
446	3202	379
447	3210	372
448	3217	365
449	3225	358
450	3233	351
451	3241	344
452	3248	337
453	3256	329
454	3263	322
455	3272	315
456	3279	308
457	3287	301
458	3294	294
459	3302	287
460	3310	280
461	3317	272
462	3326	265
463	3333	258
464	3341	251
465	3348	244
466	3356	237
467	3364	230
468	3371	222
469	3379	215
470	3387	208
471	3394	201
472	3402	194
473	3409	187
474	3417	179
475	3424	172
476	3433	165
477	3441	158
478	3448	151
479	3456	144
480	3465	136
481	3472	129
482	3480	122
483	3488	115
484	3495	108
485	3503	100
486	3510	93
487	3520	86
488	3528	79
489	3537	72
490	3544	64
491	3552	57
492	3560	50
493	3568	43
494	3576	36
495	3585	28
496	3592	21
497	3601	14
498	3608	7
499	3616	0
