iter	MultiClass
0	1.059316385
1	1.02683944
2	1.003332652
3	0.9821498151
4	0.9634275082
5	0.9470514668
6	0.9312470922
7	0.9190081961
8	0.9072224193
9	0.896751045
10	0.8863261357
11	0.8785103861
12	0.871401445
13	0.8621349727
14	0.8548996581
15	0.8491468949
16	0.8420847243
17	0.8367510182
18	0.8306141809
19	0.8263531754
20	0.8223394444
21	0.8177685772
22	0.814821092
23	0.8111283744
24	0.8049237795
25	0.7994565145
26	0.7953086303
27	0.792988872
28	0.7885036847
29	0.7856662986
30	0.7827656285
31	0.780625061
32	0.778509775
33	0.7764238147
34	0.7734001438
35	0.771180413
36	0.7680151807
37	0.7647571431
38	0.7611565257
39	0.7584416676
40	0.7527184472
41	0.7499167075
42	0.7471125263
43	0.7439465333
44	0.7406975672
45	0.736689327
46	0.7321546871
47	0.7286769146
48	0.7265573889
49	0.7220742443
50	0.7202505134
51	0.7186375903
52	0.7160514086
53	0.7136188478
54	0.7115497426
55	0.7091619034
56	0.7077056903
57	0.7055480609
58	0.702947398
59	0.7010042984
60	0.6973086218
61	0.6953020072
62	0.6928508152
63	0.6897057268
64	0.6864445569
65	0.684232691
66	0.6809412046
67	0.6778660162
68	0.6729479236
69	0.6710471326
70	0.6669530641
71	0.6639631174
72	0.6606649457
73	0.656680193
74	0.654536999
75	0.6519901559
76	0.6482408747
77	0.6460727662
78	0.6438596888
79	0.6406282946
80	0.6374012224
81	0.6349438437
82	0.6328828745
83	0.6317474185
84	0.6288579436
85	0.6262587455
86	0.6220889838
87	0.6193488385
88	0.6172698751
89	0.6146673241
90	0.6124044956
91	0.6100821241
92	0.6078560405
93	0.6058740888
94	0.6040669968
95	0.6028856493
96	0.6002973102
97	0.5982749142
98	0.596183208
99	0.5950001887
